address,symbol,name,decimals,tokenType
0x12ef10a4fc6e1ea44b4ca9508760ff51c647bb71,RSTK,Restake Finance,18,ERC20
0x0d88ed6e74bbfd96b831231638b66c05571e824f,AVT,"",18,ERC20
0xb31ef9e52d94d4120eb44fe1ddfde5b4654a6515,DOSE,DOSE,18,ERC20
0xda31d0d1bc934fc34f7189e38a413ca0a5e8b44f,BSSB,BSSB,18,ERC20
0xa7606281f7808167b5faf89f4d898685a8b87549,YAMA,dogwifyama,18,ERC20
0x747e550a7b848ace786c3cfe754aa78febc8a022,DODO,DODO,18,ERC20
0x8e4d27d772099e18900caf5dcc36cb612dcee886,ARCX,Architex,18,ERC20
0x15f20f9dfdf96ccf6ac96653b7c0abfe4a9c9f0f,WSB,WALL STREET BABY,18,ERC20
0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,PREMIA,Premia,18,ERC20
0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,GAMMA,Gamma,18,ERC20
0xf62847e9a9dd2e7c0480b25ab99e71b7c1da6ced,mooSilocrvUSD,Moo Silo crvUSD,18,ERC20
0xca14007eff0db1f8135f4c25b34de49ab0d42766,STRK,StarkNet Token,18,ERC20
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,Bancor Network Token,18,ERC20
0x543ff227f64aa17ea132bf9886cab5db55dcaddf,GEN,DAOstack,18,ERC20
0x6123b0049f904d730db3c36a31167d9d4121fa6b,RBN,Ribbon,18,ERC20
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ILV,Illuvium,18,ERC20
0x9a96ec9b57fb64fbc60b423d1f4da7691bd35079,AJNA,AjnaToken,18,ERC20
0x584bc13c7d411c00c01a62e8019472de68768430,HEGIC,Hegic,18,ERC20
0x675bbc7514013e2073db7a919f6e4cbef576de37,CLS,Coldstack,18,ERC20
0x726516b20c4692a6bea3900971a37e0ccf7a6bff,FRG,Frog Coin,18,ERC20
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,ETHFI,ether.fi governance token,18,ERC20
0x78a0a62fba6fb21a83fe8a3433d44c73a4017a6f,OX,Open Exchange Token,18,ERC20
0x0d438f3b5175bebc262bf23753c1e53d03432bde,wNXM,Wrapped NXM,18,ERC20
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,SHIBA INU,18,ERC20
0xdd1ad9a21ce722c151a836373babe42c868ce9a4,UBI,Universal Basic Income,18,ERC20
0xfeef77d3f69374f66429c91d732a244f074bdf74,cvxFXS,Convex FXS,18,ERC20
0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,POL,Polygon Ecosystem Token,18,ERC20
0x44971abf0251958492fee97da3e5c5ada88b9185,basedAI,basedAI,18,ERC20
0x3ba925fdeae6b46d0bb4d424d829982cb2f7309e,RBX,RabbitX,18,ERC20
0xdb82c0d91e057e05600c8f8dc836beb41da6df14,SLN,Smart Layer Network Token,18,ERC20
0x8c7ac134ed985367eadc6f727d79e8295e11435c,Kekec,The Balkan Dwarf,18,ERC20
0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14,BEL,Bella,18,ERC20
0xba386a4ca26b85fd057ab1ef86e3dc7bdeb5ce70,JESUS,Jesus Coin,18,ERC20
0xf418588522d5dd018b425e472991e52ebbeeeeee,PUSH,Ethereum Push Notification Service,18,ERC20
0xfe67a4450907459c3e1fff623aa927dd4e28c67a,NEXT,Connext,18,ERC20
0x583019ff0f430721ada9cfb4fac8f06ca104d0b4,st-yETH,Staked Yearn Ether,18,ERC20
0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,Synapse,18,ERC20
0x5afe3855358e112b5647b952709e6165e1c1eeee,SAFE,Safe Token,18,ERC20
0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,sETH,Synth sETH,18,ERC20
0xae78736cd615f374d3085123a210448e74fc6393,rETH,Rocket Pool ETH,18,ERC20
0xc5170dd7386247cdb8c48545c803f5d0e3347022,Ti,Titanium22,18,ERC20
0xda47862a83dac0c112ba89c6abc2159b95afd71c,PRISMA,Prisma Governance Token,18,ERC20
0x58b6a8a3302369daec383334672404ee733ab239,LPT,Livepeer Token,18,ERC20
0xa5f2211b9b8170f694421f2046281775e8468044,THOR,THORSwap Token,18,ERC20
0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e,VEGA,VEGA,18,ERC20
0x8248270620aa532e4d64316017be5e873e37cc09,DEVVE,DevvE,18,ERC20
0x01597e397605bf280674bf292623460b4204c375,BENT,Bent Token,18,ERC20
0x183015a9ba6ff60230fdeadc3f43b3d788b13e21,R,R Stablecoin,18,ERC20
0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8,Silo,Silo Governance Token,18,ERC20
0xe88f8313e61a97cec1871ee37fbbe2a8bf3ed1e4,VAL,Sora Validator Token,18,ERC20
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,ONDO,Ondo,18,ERC20
0x069d89974f4edabde69450f9cf5cf7d8cbd2568d,BVM,BVM,18,ERC20
0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI,DefiPulse Index,18,ERC20
0x27b5739e22ad9033bcbf192059122d163b60349d,st-yCRV,Staked Yearn CRV Vault,18,ERC20
0x2a3bff78b79a009976eea096a51a948a3dc00e34,WILD,Wilder,18,ERC20
0x2a7e415c169ce3a580c6f374dc26f6aaad1eccfe,HACHI,HACHI,18,ERC20
0x320623b8e4ff03373931769a31fc52a4e78b5d70,RSR,Reserve Rights,18,ERC20
0x86772b1409b61c639eaac9ba0acfbb6e238e5f83,NDX,Indexed,18,ERC20
0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,HAIR,HairDAO Token,18,ERC20
0xaeb3607ec434454ceb308f5cd540875efb54309a,STRDY,Sturdy Token,18,ERC20
0x58cb30368ceb2d194740b144eab4c2da8a917dcb,ZYN,ZynCoin,18,ERC20
0x0c5cb676e38d6973837b9496f6524835208145a2,KABO,KaboChan,18,ERC20
0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,ARB,Arbitrum,18,ERC20
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,IMX,Immutable X,18,ERC20
0x1cfa5641c01406ab8ac350ded7d735ec41298372,CJPY,Convertible JPY Token,18,ERC20
0x6982508145454ce325ddbe47a25d4ec3d2311933,PEPE,Pepe,18,ERC20
